Title,Artist,Rank,Weeks,PeakPos,Date
How Far I'll Go,Alessia Cara,94,19,56,2016-12-31
All We Know,The Chainsmokers Featuring Phoebe Ryan,95,16,18,2016-12-31
Selfish,PnB Rock,96,19,51,2016-12-31
You're Welcome,Dwayne Johnson,97,13,65,2016-12-31
My Sh*t,A Boogie Wit da Hoodie,98,12,86,2016-12-31
Alone,Marshmello,99,10,60,2016-12-31
Sex With Me,Rihanna,100,15,83,2016-12-31
Black Beatles,Rae Sremmurd Featuring Gucci Mane,1,27,1,2016-12-24
Starboy,The Weeknd Featuring Daft Punk,2,30,1,2016-12-24
Closer,The Chainsmokers Featuring Halsey,3,52,1,2016-12-24
24K Magic,Bruno Mars,4,41,4,2016-12-24
Side To Side,Ariana Grande Featuring Nicki Minaj,5,28,4,2016-12-24
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,6,21,5,2016-12-24
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,7,27,6,2016-12-24
Let Me Love You,DJ Snake Featuring Justin Bieber,8,33,4,2016-12-24
Heathens,twenty one pilots,9,39,2,2016-12-24
Bad Things,Machine Gun Kelly x Camila Cabello,10,23,4,2016-12-24
Fake Love,Drake,11,25,8,2016-12-24
Broccoli,D.R.A.M. Featuring Lil Yachty,12,37,5,2016-12-24
Scars To Your Beautiful,Alessia Cara,13,43,8,2016-12-24
Starving,Hailee Steinfeld & Grey Featuring Zedd,14,29,12,2016-12-24
Caroline,Amine,15,28,11,2016-12-24
I Hate U I Love U,gnash Featuring Olivia O'Brien,16,39,10,2016-12-24
All I Want For Christmas Is You,Mariah Carey,17,19,11,2016-12-24
The Greatest,Sia Featuring Kendrick Lamar,18,23,18,2016-12-24
Treat You Better,Shawn Mendes,19,39,6,2016-12-24
Love On The Brain,Rihanna,20,31,5,2016-12-24
Cold Water,Major Lazer Featuring Justin Bieber & MO,21,27,2,2016-12-24
Unsteady,X Ambassadors,22,34,20,2016-12-24
Love Me Now,John Legend,23,19,23,2016-12-24
Bad And Boujee,Migos Featuring Lil Uzi Vert,24,36,1,2016-12-24
In The Name Of Love,Martin Garrix & Bebe Rexha,25,23,24,2016-12-24
Cheap Thrills,Sia Featuring Sean Paul,26,52,1,2016-12-24
OOOUUU,Young M.A,27,20,19,2016-12-24
I Feel It Coming,The Weeknd Featuring Daft Punk,28,26,4,2016-12-24
Party Monster,The Weeknd,29,19,16,2016-12-24
Blue Ain't Your Color,Keith Urban,30,21,24,2016-12-24
Don't Let Me Down,The Chainsmokers Featuring Daya,31,52,3,2016-12-24
Can't Stop The Feeling!,Justin Timberlake,32,52,1,2016-12-24
All Time Low,Jon Bellion,33,22,16,2016-12-24
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,34,26,29,2016-12-24
Jingle Bell Rock,Bobby Helms,35,19,29,2016-12-24
This Is What You Came For,Calvin Harris Featuring Rihanna,36,32,3,2016-12-24
Rockin' Around The Christmas Tree,Brenda Lee,37,18,14,2016-12-24
Mercy,Shawn Mendes,38,32,15,2016-12-24
Bounce Back,Big Sean,39,28,6,2016-12-24
Ride,twenty one pilots,40,39,5,2016-12-24
This Town,Niall Horan,41,22,20,2016-12-24
May We All,Florida Georgia Line Featuring Tim McGraw,42,20,30,2016-12-24
X,21 Savage & Metro Boomin Featuring Future,43,21,36,2016-12-24
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",44,20,27,2016-12-24
Hallelujah,Pentatonix,45,11,23,2016-12-24
Needed Me,Rihanna,46,45,7,2016-12-24
One Dance,Drake Featuring WizKid & Kyla,47,36,1,2016-12-24
Redbone,Childish Gambino,48,44,12,2016-12-24
You Was Right,Lil Uzi Vert,49,28,40,2016-12-24
Reminder,The Weeknd,50,17,31,2016-12-24
Used To This,Future Featuring Drake,51,18,14,2016-12-24
Million Reasons,Lady Gaga,52,20,4,2016-12-24
Wanna Be That Song,Brett Eldredge,53,20,46,2016-12-24
Sidewalks,The Weeknd Featuring Kendrick Lamar,54,4,27,2016-12-24
Six Feet Under,The Weeknd,55,4,34,2016-12-24
Come And See Me,PARTYNEXTDOOR Featuring Drake,56,24,55,2016-12-24
No Heart,21 Savage & Metro Boomin,57,19,43,2016-12-24
Water Under The Bridge,Adele,58,22,26,2016-12-24
Song For Another Time,Old Dominion,59,18,59,2016-12-24
Say You Won't Let Go,James Arthur,60,52,11,2016-12-24
Tiimmy Turner,Desiigner,61,20,34,2016-12-24
Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,62,20,43,2016-12-24
Sneakin',Drake Featuring 21 Savage,63,14,28,2016-12-24
Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,64,20,50,2016-12-24
Black Barbies,Nicki Minaj X Mike WiLL Made-It,65,2,65,2016-12-24
Secrets,The Weeknd,66,2,47,2016-12-24
Better Man,Little Big Town,67,20,34,2016-12-24
Me And Your Mama,Childish Gambino,68,2,68,2016-12-24
Dirty Laundry,Carrie Underwood,69,16,48,2016-12-24
How Far I'll Go,Auli'i Cravalho,70,20,41,2016-12-24
Die For You,The Weeknd,71,3,43,2016-12-24
1 Night,Lil Yachty,72,20,49,2016-12-24
Fresh Eyes,Andy Grammer,73,18,59,2016-12-24
Sleep Without You,Brett Young,74,18,47,2016-12-24
HandClap,Fitz And The Tantrums,75,20,53,2016-12-24
Home,gnash Featuring Johnny Yukon,76,1,76,2016-12-24
Play That Song,Train,77,20,41,2016-12-24
True Colors,The Weeknd,78,2,48,2016-12-24
Chantaje,Shakira Featuring Maluma,79,18,51,2016-12-24
Middle Of A Memory,Cole Swindell,80,20,46,2016-12-24
A Guy With A Girl,Blake Shelton,81,17,42,2016-12-24
Rockin',The Weeknd,82,2,44,2016-12-24
All I Know,The Weeknd Featuring Future,83,2,46,2016-12-24
That's My Girl,Fifth Harmony,84,3,73,2016-12-24
Star Of The Show,Thomas Rhett,85,19,45,2016-12-24
False Alarm,The Weeknd,86,4,55,2016-12-24
Setting The World On Fire,Kenny Chesney Featuring P!nk,87,20,29,2016-12-24
How I'll Always Be,Tim McGraw,88,12,70,2016-12-24
All We Know,The Chainsmokers Featuring Phoebe Ryan,89,16,18,2016-12-24
Selfish,PnB Rock,90,19,51,2016-12-24
My Sh*t,A Boogie Wit da Hoodie,91,12,86,2016-12-24
You're Welcome,Dwayne Johnson,92,13,65,2016-12-24
False Prophets,J. Cole,93,2,54,2016-12-24
Alone,Marshmello,94,10,60,2016-12-24
Dirt On My Boots,Jon Pardi,95,20,37,2016-12-24
Attention,The Weeknd,96,2,67,2016-12-24
Ordinary Life,The Weeknd,97,2,72,2016-12-24
Sex With Me,Rihanna,98,15,83,2016-12-24
What They Want,Russ,99,8,83,2016-12-24
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,100,27,9,2016-12-24
Black Beatles,Rae Sremmurd Featuring Gucci Mane,1,27,1,2016-12-17
Starboy,The Weeknd Featuring Daft Punk,2,30,1,2016-12-17
Closer,The Chainsmokers Featuring Halsey,3,52,1,2016-12-17
Side To Side,Ariana Grande Featuring Nicki Minaj,4,28,4,2016-12-17
24K Magic,Bruno Mars,5,41,4,2016-12-17
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,6,21,5,2016-12-17
Let Me Love You,DJ Snake Featuring Justin Bieber,7,33,4,2016-12-17
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,8,27,6,2016-12-17
Heathens,twenty one pilots,9,39,2,2016-12-17
Broccoli,D.R.A.M. Featuring Lil Yachty,10,37,5,2016-12-17
Fake Love,Drake,11,25,8,2016-12-17
Starving,Hailee Steinfeld & Grey Featuring Zedd,12,29,12,2016-12-17
I Hate U I Love U,gnash Featuring Olivia O'Brien,13,39,10,2016-12-17
Caroline,Amine,14,28,11,2016-12-17
Scars To Your Beautiful,Alessia Cara,15,43,8,2016-12-17
Party Monster,The Weeknd,16,19,16,2016-12-17
Bad Things,Machine Gun Kelly x Camila Cabello,17,23,4,2016-12-17
The Greatest,Sia Featuring Kendrick Lamar,18,23,18,2016-12-17
Cold Water,Major Lazer Featuring Justin Bieber & MO,19,27,2,2016-12-17
Treat You Better,Shawn Mendes,20,39,6,2016-12-17
Unsteady,X Ambassadors,21,34,20,2016-12-17
I Feel It Coming,The Weeknd Featuring Daft Punk,22,26,4,2016-12-17
All I Want For Christmas Is You,Mariah Carey,23,19,11,2016-12-17
Cheap Thrills,Sia Featuring Sean Paul,24,52,1,2016-12-17
Can't Stop The Feeling!,Justin Timberlake,25,52,1,2016-12-17
OOOUUU,Young M.A,26,20,19,2016-12-17
Sidewalks,The Weeknd Featuring Kendrick Lamar,27,4,27,2016-12-17
In The Name Of Love,Martin Garrix & Bebe Rexha,28,23,24,2016-12-17
Don't Let Me Down,The Chainsmokers Featuring Daya,29,52,3,2016-12-17
Love On The Brain,Rihanna,30,31,5,2016-12-17
Reminder,The Weeknd,31,17,31,2016-12-17
Blue Ain't Your Color,Keith Urban,32,21,24,2016-12-17
This Is What You Came For,Calvin Harris Featuring Rihanna,33,32,3,2016-12-17
Six Feet Under,The Weeknd,34,4,34,2016-12-17
All Time Low,Jon Bellion,35,22,16,2016-12-17
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,36,26,29,2016-12-17
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",37,20,27,2016-12-17
Ride,twenty one pilots,38,39,5,2016-12-17
May We All,Florida Georgia Line Featuring Tim McGraw,39,20,30,2016-12-17
This Town,Niall Horan,40,22,20,2016-12-17
X,21 Savage & Metro Boomin Featuring Future,41,21,36,2016-12-17
Needed Me,Rihanna,42,45,7,2016-12-17
Die For You,The Weeknd,43,3,43,2016-12-17
Rockin',The Weeknd,44,2,44,2016-12-17
One Dance,Drake Featuring WizKid & Kyla,45,36,1,2016-12-17
All I Know,The Weeknd Featuring Future,46,2,46,2016-12-17
Secrets,The Weeknd,47,2,47,2016-12-17
True Colors,The Weeknd,48,2,48,2016-12-17
Bad And Boujee,Migos Featuring Lil Uzi Vert,49,36,1,2016-12-17
Mercy,Shawn Mendes,50,32,15,2016-12-17
Bounce Back,Big Sean,51,28,6,2016-12-17
How Far I'll Go,Auli'i Cravalho,52,20,41,2016-12-17
Love Me Now,John Legend,53,19,23,2016-12-17
Used To This,Future Featuring Drake,54,18,14,2016-12-17
False Alarm,The Weeknd,55,4,55,2016-12-17
Hallelujah,Pentatonix,56,11,23,2016-12-17
You Was Right,Lil Uzi Vert,57,28,40,2016-12-17
Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,58,20,43,2016-12-17
Wanna Be That Song,Brett Eldredge,59,20,46,2016-12-17
Come And See Me,PARTYNEXTDOOR Featuring Drake,60,24,55,2016-12-17
Stargirl Interlude,The Weeknd Featuring Lana Del Rey,61,1,61,2016-12-17
Tiimmy Turner,Desiigner,62,20,34,2016-12-17
Sleep Without You,Brett Young,63,18,47,2016-12-17
Song For Another Time,Old Dominion,64,18,59,2016-12-17
Fresh Eyes,Andy Grammer,65,18,59,2016-12-17
Sneakin',Drake Featuring 21 Savage,66,14,28,2016-12-17
Attention,The Weeknd,67,2,67,2016-12-17
Nothing Without You,The Weeknd,68,1,68,2016-12-17
A Lonely Night,The Weeknd,69,1,69,2016-12-17
No Heart,21 Savage & Metro Boomin,70,19,43,2016-12-17
Love To Lay,The Weeknd,71,1,71,2016-12-17
Ordinary Life,The Weeknd,72,2,72,2016-12-17
Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,73,20,50,2016-12-17
Middle Of A Memory,Cole Swindell,74,20,46,2016-12-17
1 Night,Lil Yachty,75,20,49,2016-12-17
Say You Won't Let Go,James Arthur,76,52,11,2016-12-17
HandClap,Fitz And The Tantrums,77,20,53,2016-12-17
Water Under The Bridge,Adele,78,22,26,2016-12-17
Dirty Laundry,Carrie Underwood,79,16,48,2016-12-17
Better Man,Little Big Town,80,20,34,2016-12-17
Setting The World On Fire,Kenny Chesney Featuring P!nk,81,20,29,2016-12-17
All We Know,The Chainsmokers Featuring Phoebe Ryan,82,16,18,2016-12-17
You're Welcome,Dwayne Johnson,83,13,65,2016-12-17
That's My Girl,Fifth Harmony,84,3,73,2016-12-17
Distraction,Kehlani,85,1,85,2016-12-17
Star Of The Show,Thomas Rhett,86,19,45,2016-12-17
A Little More Summertime,Jason Aldean,87,13,52,2016-12-17
How Far I'll Go,Alessia Cara,88,19,56,2016-12-17
Selfish,PnB Rock,89,19,51,2016-12-17
Chantaje,Shakira Featuring Maluma,90,18,51,2016-12-17
How I'll Always Be,Tim McGraw,91,12,70,2016-12-17
A Guy With A Girl,Blake Shelton,92,17,42,2016-12-17
We Know The Way,Opetaia Foa'i & Lin-Manuel Miranda,93,2,93,2016-12-17
Look Alive,Rae Sremmurd,94,6,72,2016-12-17
What They Want,Russ,95,8,83,2016-12-17
Fade,Kanye West,96,13,47,2016-12-17
Capsize,Frenship & Emily Warren,97,10,78,2016-12-17
Make Me (Cry),Noah Cyrus Featuring Labrinth,98,15,46,2016-12-17
My Sh*t,A Boogie Wit da Hoodie,99,12,86,2016-12-17
Sex With Me,Rihanna,100,15,83,2016-12-17
Black Beatles,Rae Sremmurd Featuring Gucci Mane,1,27,1,2016-12-10
Closer,The Chainsmokers Featuring Halsey,2,52,1,2016-12-10
Starboy,The Weeknd Featuring Daft Punk,3,30,1,2016-12-10
24K Magic,Bruno Mars,4,41,4,2016-12-10
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,5,21,5,2016-12-10
Side To Side,Ariana Grande Featuring Nicki Minaj,6,28,4,2016-12-10
Heathens,twenty one pilots,7,39,2,2016-12-10
Let Me Love You,DJ Snake Featuring Justin Bieber,8,33,4,2016-12-10
Broccoli,D.R.A.M. Featuring Lil Yachty,9,37,5,2016-12-10
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,10,27,6,2016-12-10
Fake Love,Drake,11,25,8,2016-12-10
Caroline,Amine,12,28,11,2016-12-10
Starving,Hailee Steinfeld & Grey Featuring Zedd,13,29,12,2016-12-10
I Hate U I Love U,gnash Featuring Olivia O'Brien,14,39,10,2016-12-10
Scars To Your Beautiful,Alessia Cara,15,43,8,2016-12-10
Cold Water,Major Lazer Featuring Justin Bieber & MO,16,27,2,2016-12-10
Treat You Better,Shawn Mendes,17,39,6,2016-12-10
The Greatest,Sia Featuring Kendrick Lamar,18,23,18,2016-12-10
Can't Stop The Feeling!,Justin Timberlake,19,52,1,2016-12-10
Unsteady,X Ambassadors,20,34,20,2016-12-10
Cheap Thrills,Sia Featuring Sean Paul,21,52,1,2016-12-10
OOOUUU,Young M.A,22,20,19,2016-12-10
Don't Let Me Down,The Chainsmokers Featuring Daya,23,52,3,2016-12-10
In The Name Of Love,Martin Garrix & Bebe Rexha,24,23,24,2016-12-10
Blue Ain't Your Color,Keith Urban,25,21,24,2016-12-10
This Is What You Came For,Calvin Harris Featuring Rihanna,26,32,3,2016-12-10
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",27,20,27,2016-12-10
Bad Things,Machine Gun Kelly x Camila Cabello,28,23,4,2016-12-10
This Town,Niall Horan,29,22,20,2016-12-10
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,30,26,29,2016-12-10
Ride,twenty one pilots,31,39,5,2016-12-10
All Time Low,Jon Bellion,32,22,16,2016-12-10
May We All,Florida Georgia Line Featuring Tim McGraw,33,20,30,2016-12-10
Love On The Brain,Rihanna,34,31,5,2016-12-10
Mercy,Shawn Mendes,35,32,15,2016-12-10
X,21 Savage & Metro Boomin Featuring Future,36,21,36,2016-12-10
One Dance,Drake Featuring WizKid & Kyla,37,36,1,2016-12-10
Needed Me,Rihanna,38,45,7,2016-12-10
Party Monster,The Weeknd,39,19,16,2016-12-10
Used To This,Future Featuring Drake,40,18,14,2016-12-10
Gold,Kiiara,41,27,13,2016-12-10
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",42,22,15,2016-12-10
Love Me Now,John Legend,43,19,23,2016-12-10
Panda,Desiigner,44,40,1,2016-12-10
Tiimmy Turner,Desiigner,45,20,34,2016-12-10
Luv,Tory Lanez,46,22,19,2016-12-10
Sleep Without You,Brett Young,47,18,47,2016-12-10
I Feel It Coming,The Weeknd Featuring Daft Punk,48,26,4,2016-12-10
Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,49,20,43,2016-12-10
Sneakin',Drake Featuring 21 Savage,50,14,28,2016-12-10
Bounce Back,Big Sean,51,28,6,2016-12-10
You Was Right,Lil Uzi Vert,52,28,40,2016-12-10
Love On The Weekend,John Mayer,53,2,53,2016-12-10
Bad And Boujee,Migos Featuring Lil Uzi Vert,54,36,1,2016-12-10
1 Night,Lil Yachty,55,20,49,2016-12-10
Come And See Me,PARTYNEXTDOOR Featuring Drake,56,24,55,2016-12-10
Wanna Be That Song,Brett Eldredge,57,20,46,2016-12-10
Middle Of A Memory,Cole Swindell,58,20,46,2016-12-10
Fresh Eyes,Andy Grammer,59,18,59,2016-12-10
Song For Another Time,Old Dominion,60,18,59,2016-12-10
No Heart,21 Savage & Metro Boomin,61,19,43,2016-12-10
Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,62,20,50,2016-12-10
HandClap,Fitz And The Tantrums,63,20,53,2016-12-10
A Little More Summertime,Jason Aldean,64,13,52,2016-12-10
Hallelujah,Pentatonix,65,11,23,2016-12-10
All We Know,The Chainsmokers Featuring Phoebe Ryan,66,16,18,2016-12-10
Setting The World On Fire,Kenny Chesney Featuring P!nk,67,20,29,2016-12-10
Say You Won't Let Go,James Arthur,68,52,11,2016-12-10
Better Man,Little Big Town,69,20,34,2016-12-10
Dirty Laundry,Carrie Underwood,70,16,48,2016-12-10
Fade,Kanye West,71,13,47,2016-12-10
Look Alive,Rae Sremmurd,72,6,72,2016-12-10
That's My Girl,Fifth Harmony,73,3,73,2016-12-10
My Way,Calvin Harris,74,10,24,2016-12-10
Redbone,Childish Gambino,75,44,12,2016-12-10
Ain't My Fault,Zara Larsson,76,7,76,2016-12-10
Chantaje,Shakira Featuring Maluma,77,18,51,2016-12-10
Move,Luke Bryan,78,14,50,2016-12-10
That's What I Like,Bruno Mars,79,41,1,2016-12-10
Water Under The Bridge,Adele,80,22,26,2016-12-10
Selfish,PnB Rock,81,19,51,2016-12-10
Star Of The Show,Thomas Rhett,82,19,45,2016-12-10
What They Want,Russ,83,8,83,2016-12-10
Capsize,Frenship & Emily Warren,84,10,78,2016-12-10
Key To The Streets,YFN Lucci Featuring Migos & Trouble,85,11,70,2016-12-10
Slumber Party,Britney Spears Featuring Tinashe,86,1,86,2016-12-10
How I'll Always Be,Tim McGraw,87,12,70,2016-12-10
Vice,Miranda Lambert,88,19,47,2016-12-10
Litty,Meek Mill Featuring Tory Lanez,89,4,49,2016-12-10
PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,90,4,77,2016-12-10
Play That Song,Train,91,20,41,2016-12-10
A Guy With A Girl,Blake Shelton,92,17,42,2016-12-10
My Sh*t,A Boogie Wit da Hoodie,93,12,86,2016-12-10
Kill A Word,Eric Church Featuring Rhiannon Giddens,94,15,71,2016-12-10
Sex With Me,Rihanna,95,15,83,2016-12-10
Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis,96,4,95,2016-12-10
Infinite,Eminem,97,1,97,2016-12-10
Versace On The Floor,Bruno Mars,98,14,33,2016-12-10
Parachute,Chris Stapleton,99,5,78,2016-12-10
80s Mercedes,Maren Morris,100,13,74,2016-12-10
Black Beatles,Rae Sremmurd Featuring Gucci Mane,1,27,1,2016-12-03
Closer,The Chainsmokers Featuring Halsey,2,52,1,2016-12-03
Starboy,The Weeknd Featuring Daft Punk,3,30,1,2016-12-03
Side To Side,Ariana Grande Featuring Nicki Minaj,4,28,4,2016-12-03
Heathens,twenty one pilots,5,39,2,2016-12-03
24K Magic,Bruno Mars,6,41,4,2016-12-03
Let Me Love You,DJ Snake Featuring Justin Bieber,7,33,4,2016-12-03
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,8,21,5,2016-12-03
Broccoli,D.R.A.M. Featuring Lil Yachty,9,37,5,2016-12-03
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,10,27,6,2016-12-03
I Hate U I Love U,gnash Featuring Olivia O'Brien,11,39,10,2016-12-03
Caroline,Amine,12,28,11,2016-12-03
Cold Water,Major Lazer Featuring Justin Bieber & MO,13,27,2,2016-12-03
Fake Love,Drake,14,25,8,2016-12-03
Starving,Hailee Steinfeld & Grey Featuring Zedd,15,29,12,2016-12-03
Treat You Better,Shawn Mendes,16,39,6,2016-12-03
Scars To Your Beautiful,Alessia Cara,17,43,8,2016-12-03
Can't Stop The Feeling!,Justin Timberlake,18,52,1,2016-12-03
Cheap Thrills,Sia Featuring Sean Paul,19,52,1,2016-12-03
The Greatest,Sia Featuring Kendrick Lamar,20,23,18,2016-12-03
Unsteady,X Ambassadors,21,34,20,2016-12-03
OOOUUU,Young M.A,22,20,19,2016-12-03
Don't Let Me Down,The Chainsmokers Featuring Daya,23,52,3,2016-12-03
Blue Ain't Your Color,Keith Urban,24,21,24,2016-12-03
This Is What You Came For,Calvin Harris Featuring Rihanna,25,32,3,2016-12-03
In The Name Of Love,Martin Garrix & Bebe Rexha,26,23,24,2016-12-03
Gold,Kiiara,27,27,13,2016-12-03
Ride,twenty one pilots,28,39,5,2016-12-03
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,29,26,29,2016-12-03
May We All,Florida Georgia Line Featuring Tim McGraw,30,20,30,2016-12-03
Used To This,Future Featuring Drake,31,18,14,2016-12-03
Needed Me,Rihanna,32,45,7,2016-12-03
One Dance,Drake Featuring WizKid & Kyla,33,36,1,2016-12-03
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",34,20,27,2016-12-03
All Time Low,Jon Bellion,35,22,16,2016-12-03
X,21 Savage & Metro Boomin Featuring Future,36,21,36,2016-12-03
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",37,22,15,2016-12-03
Tiimmy Turner,Desiigner,38,20,34,2016-12-03
Send My Love (To Your New Lover),Adele,39,27,8,2016-12-03
Luv,Tory Lanez,40,22,19,2016-12-03
Love Me Now,John Legend,41,19,23,2016-12-03
Panda,Desiigner,42,40,1,2016-12-03
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,43,26,43,2016-12-03
Sneakin',Drake Featuring 21 Savage,44,14,28,2016-12-03
Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,45,20,43,2016-12-03
Bad Things,Machine Gun Kelly x Camila Cabello,46,23,4,2016-12-03
Mercy,Shawn Mendes,47,32,15,2016-12-03
Too Good,Drake Featuring Rihanna,48,29,14,2016-12-03
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,49,24,9,2016-12-03
Love On The Brain,Rihanna,50,31,5,2016-12-03
Sleep Without You,Brett Young,51,18,47,2016-12-03
Middle Of A Memory,Cole Swindell,52,20,46,2016-12-03
1 Night,Lil Yachty,53,20,49,2016-12-03
A Little More Summertime,Jason Aldean,54,13,52,2016-12-03
Come And See Me,PARTYNEXTDOOR Featuring Drake,55,24,55,2016-12-03
Hallelujah,Pentatonix,56,11,23,2016-12-03
You Was Right,Lil Uzi Vert,57,28,40,2016-12-03
Setting The World On Fire,Kenny Chesney Featuring P!nk,58,20,29,2016-12-03
Hallelujah,Leonard Cohen,59,1,59,2016-12-03
Bounce Back,Big Sean,60,28,6,2016-12-03
This Town,Niall Horan,61,22,20,2016-12-03
Song For Another Time,Old Dominion,62,18,59,2016-12-03
Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,63,20,50,2016-12-03
Wanna Be That Song,Brett Eldredge,64,20,46,2016-12-03
No Heart,21 Savage & Metro Boomin,65,19,43,2016-12-03
Fade,Kanye West,66,13,47,2016-12-03
Fresh Eyes,Andy Grammer,67,18,59,2016-12-03
All We Know,The Chainsmokers Featuring Phoebe Ryan,68,16,18,2016-12-03
Me And Your Mama,Childish Gambino,69,2,68,2016-12-03
Better Man,Little Big Town,70,20,34,2016-12-03
Dirty Laundry,Carrie Underwood,71,16,48,2016-12-03
Look Alive,Rae Sremmurd,72,6,72,2016-12-03
Move,Luke Bryan,73,14,50,2016-12-03
My Way,Calvin Harris,74,10,24,2016-12-03
Say You Won't Let Go,James Arthur,75,52,11,2016-12-03
Bad And Boujee,Migos Featuring Lil Uzi Vert,76,36,1,2016-12-03
We The People....,A Tribe Called Quest,77,1,77,2016-12-03
HandClap,Fitz And The Tantrums,78,20,53,2016-12-03
Ain't My Fault,Zara Larsson,79,7,76,2016-12-03
Capsize,Frenship & Emily Warren,80,10,78,2016-12-03
Key To The Streets,YFN Lucci Featuring Migos & Trouble,81,11,70,2016-12-03
Star Of The Show,Thomas Rhett,82,19,45,2016-12-03
What They Want,Russ,83,8,83,2016-12-03
Vice,Miranda Lambert,84,19,47,2016-12-03
Litty,Meek Mill Featuring Tory Lanez,85,4,49,2016-12-03
Setting Fires,The Chainsmokers Featuring XYLO,86,2,71,2016-12-03
Selfish,PnB Rock,87,19,51,2016-12-03
How I'll Always Be,Tim McGraw,88,12,70,2016-12-03
My Sh*t,A Boogie Wit da Hoodie,89,12,86,2016-12-03
80s Mercedes,Maren Morris,90,13,74,2016-12-03
It Don't Hurt Like It Used To,Billy Currington,91,17,44,2016-12-03
Sex With Me,Rihanna,92,15,83,2016-12-03
PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,93,4,77,2016-12-03
Water Under The Bridge,Adele,94,22,26,2016-12-03
Shout Out To My Ex,Little Mix,95,3,69,2016-12-03
Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis,96,4,95,2016-12-03
A Guy With A Girl,Blake Shelton,97,17,42,2016-12-03
Wishing,"DJ Drama Featuring Chris Brown, Skeme & Lyquin",98,14,77,2016-12-03
Call On Me,Starley,99,18,65,2016-12-03
Goosebumps,Travis Scott,100,34,32,2016-12-03
Black Beatles,Rae Sremmurd Featuring Gucci Mane,1,27,1,2016-11-26
Closer,The Chainsmokers Featuring Halsey,2,52,1,2016-11-26
Starboy,The Weeknd Featuring Daft Punk,3,30,1,2016-11-26
Heathens,twenty one pilots,4,39,2,2016-11-26
Let Me Love You,DJ Snake Featuring Justin Bieber,5,33,4,2016-11-26
24K Magic,Bruno Mars,6,41,4,2016-11-26
Side To Side,Ariana Grande Featuring Nicki Minaj,7,28,4,2016-11-26
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,8,21,5,2016-11-26
Broccoli,D.R.A.M. Featuring Lil Yachty,9,37,5,2016-11-26
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,10,27,6,2016-11-26
I Hate U I Love U,gnash Featuring Olivia O'Brien,11,39,10,2016-11-26
Cold Water,Major Lazer Featuring Justin Bieber & MO,12,27,2,2016-11-26
Treat You Better,Shawn Mendes,13,39,6,2016-11-26
Used To This,Future Featuring Drake,14,18,14,2016-11-26
Cheap Thrills,Sia Featuring Sean Paul,15,52,1,2016-11-26
Can't Stop The Feeling!,Justin Timberlake,16,52,1,2016-11-26
Fake Love,Drake,17,25,8,2016-11-26
Caroline,Amine,18,28,11,2016-11-26
Starving,Hailee Steinfeld & Grey Featuring Zedd,19,29,12,2016-11-26
OOOUUU,Young M.A,20,20,19,2016-11-26
The Greatest,Sia Featuring Kendrick Lamar,21,23,18,2016-11-26
